start	end	text
1126000	1129000	I think shift is standard.
1129000	1131000	No, rug pull. I did not see rug pull.
1131000	1134000	It was in conversation and I don't remember which of us came up with it.
1134000	1136000	Yeah, I forgot.
1136000	1138000	It was during a meeting with Gart. Yes, that's right.
1138000	1144000	It was during one of our meetings and and and in the end we had this term and it's so the right term.
1148000	1152000	Yeah, that's pretty good because you're like you're basically you're just sliding out of the way,
1152000	1154000	but you're keeping it in the same place.
1154000	1160000	Yeah, the only thing it brings to mind is that magic trick where you have the whole set table.
1160000	1162000	Yeah, you pull the tablecloth out from under it.
1162000	1164000	Yeah. Yeah.
1166000	1175000	But the thing is that if we remove like the only reason we need this stuff is for it's for interleaving from what I can tell.
1176000	1178000	Something like that, yes.
1178000	1185000	And if we use like degree epsilon morphisms instead of requiring everything to be degree zero, then all we need is slides.
1185000	1187000	We no longer need shifts or rug pulls.
1187000	1189000	Yeah, that's right.
1189000	1193000	But it's nice to describe things in terms of shifts and rug pulls.
1194000	1205000	I mean, the shift is basically equivalent to just like the like you use a shift basis to emulate nonzero degree.
1205000	1207000	Yes, that's right.
1207000	1215000	In fact, exactly the definition of a nonzero degree homomorphism is a morphism of degree zero from N to a shift of N.
1215000	1217000	Oh, okay.
1217000	1220000	That's how commutative algebra, that's how it's defined.
1220000	1222000	Oh, okay.
1222000	1224000	That makes complete sense, yeah.
1224000	1233000	Well, you can also define it more sort of parochially, I suppose, by just saying that it's a homomorphism such that it takes an element of degree A to an element of degree A plus epsilon.
1233000	1235000	Yeah, that's what I was thinking.
1235000	1240000	But I also define it to be a homomorphism of degree zero from N to N shifted by epsilon.
1240000	1242000	Yes, expanding definitions, yes.
1242000	1244000	Right.
1245000	1248000	Okay, so that's the notation.
1248000	1250000	Maybe we should change it, especially the notation.
1250000	1253000	I'm not too happy with the rug pull one because it's quite similar to shift one.
1253000	1256000	But maybe that's just something you have to live with.
1256000	1261000	There's also an argument for not having that at all and just writing out the full expression every time, but that seems.
1261000	1267000	Yes, and it's going to be, I will leave it up to you for the moment because you're going to try to write things down.
1267000	1272000	And when you do, you'll figure out which notations are becoming really irritating.
1272000	1273000	Sure.
1273000	1274000	Okay.
1274000	1277000	Yeah, it's one of those things you just try it and see what happens.
1277000	1281000	And, you know, if it's not working for you, then go, you know, this is just annoying.
1281000	1283000	It's the same thing with the minus sign.
1283000	1287000	There should be a minus, you know, M shifted by epsilon should be M shifted by epsilon.
1287000	1289000	But it's not, it's M shifted back by epsilon.
1289000	1291000	That's because it's a minus sign.
1291000	1294000	And you can choose what to do with the minus sign, where to put it.
1294000	1297000	And sometimes it's annoying and sometimes it's not.
1297000	1302000	I don't think, I think that one would just like have to keep with what other people are doing and just like deal with the sign.
1302000	1303000	It makes like...
1303000	1306000	There's no question that this is the definition of M shifted by epsilon.
1306000	1311000	The question is whether we want to routinely think of M shifted by minus epsilon or not.
1311000	1312000	Oh, all right.
1312000	1314000	Because the answer is not.
1315000	1319000	I think it like, it makes sense to just define it in a way that it admits that.
1319000	1322000	But I think in practice that never shows up.
1322000	1324000	Okay.
1327000	1330000	Yeah, so that's the, that's the notation stuff.
1332000	1334000	Oh, right.
1334000	1336000	Eric introduced me.
1336000	1339000	Actually, last night, like, I saw your email.
1339000	1340000	I was getting dinner.
1340000	1346000	And then right as I'm leaving, coming back from my room, then I see Eric and then we talk about it.
1346000	1352000	And that's, that's why I, that's why I told you to like ask him if you wanted to show off.
1352000	1361000	But the, one of the things that we talked about then is one of the ways we want to sort of salvage the things with lifetime.
1362000	1374000	Stuff is by looking into how the, how the like the act, it actually works in practice.
1374000	1378000	So that how like people are actually using this stuff for real data sets.
1378000	1382000	And then let's see the exact wording here.
1382000	1388000	Formulates conditions under which the screening variants are complete when restricted to push forward measure.
1389000	1391000	Yes.
1391000	1396000	And so for that inch like understand how, how people are actually doing this stuff.
1396000	1399000	And he introduced me to this library called duty.
1399000	1400000	Oh, yeah.
1400000	1401000	Is it good?
1401000	1405000	Is it like, does it do the things you wanted it to do?
1405000	1406000	It seems like it does.
1406000	1408000	I haven't had that much time to look into it yet.
1408000	1412000	Because based on your like descriptions, I'm pretty sure it's exactly what you want.
1412000	1414000	From what I looked up, it doesn't contribute.
1414000	1417000	So that's something I need to look into to try to understand what they're doing.
1417000	1418000	And people also like multi-PERS.
1418000	1420000	I think they call it multi-PERS.
1420000	1423000	So multi-PERS is made to interface with Goody.
1423000	1426000	I think you heard about multi-PERS because of me, actually.
1426000	1428000	And the people at Nightsake.
1428000	1430000	Remember, I was just at Nightsake.
1430000	1431000	Oh, that's true.
1431000	1434000	Anyway, so multi-PERS is meant to interface with Goody as well.
1434000	1439000	There is probably overlap at some point, but I think Goody is more on the computational.
1440000	1444000	Before we encode things, before we process things.
1444000	1446000	And then multi-PERS is more for the processing.
1446000	1449000	So I think Goody is more so what you want to call it.
1449000	1451000	But you can check out multi-PERS as well.
1451000	1454000	Multi-PERS is more, I think, further along the pipeline.
1458000	1460000	Sure, I'll just write it down.
1462000	1464000	So there's that.
1465000	1472000	I've also been thinking about the other, just because I didn't have too much to think about in regards to that stuff.
1472000	1482000	I've been thinking about the other rich salvage it, which is attaching supplementary data to lifetime filtration so that it does become discriminating.
1483000	1502000	What I was thinking in that regard is that the, sort of the interesting thing for, at least in a discriminatory sense with this, is that it's when things are, like they geometrically would be a lifetime.
1502000	1506000	But algebraically, there's something that prevents them from being a lifetime.
1506000	1509000	I'm not sure what you mean by that. What do you mean?
1509000	1521000	So if we think back to the Luis example where you have the cube, right, missing the ends, do you remember the Luis kind of example?
1521000	1523000	Vaguely, yes.
1523000	1530000	Yeah, so in that case, if we don't, the one that has the multiplication by alpha and multiplication by beta, right?
1530000	1531000	Right, yes.
1532000	1538000	If we don't have those, if we have everything just being the identity map, then the entire module is a lifetime module.
1538000	1541000	And then you're basically, and then that works.
1541000	1549000	But when one of the multiplication, multiplication by alpha, or by anything that's not one, then it is no longer your lifetime module.
1549000	1554000	And that, and so that means that we lose a filtration.
1554000	1558000	There's one, a filtration that would have, like geometrically should exist because there's a map there.
1558000	1562000	But I like it supported as if it were a lifetime module.
1562000	1567000	But the algebra of the map prevents it from being a lifetime module.
1567000	1573000	Oh, I see, I see. It's not lifetime because the maps are at all constant. They're not all the same.
1573000	1574000	Yeah.
1574000	1578000	It's not connected, the morphisms aren't connected or something like that.
1578000	1579000	Yeah, something like that.
1579000	1588000	And so this means that we lose some, there's basically a filtration that would exist based on geometry, but doesn't exist because of the algebra.
1588000	1597000	And I think if we want to solve it in this way, we need a way to like keep that information of like, why does this filtration that should work not work?
1597000	1600000	Provide some way of like comparing those.
1600000	1605000	I see. I see. We may also want to just, I mean, include.
1606000	1611000	Honestly, a filtration is always going to be sort of short, exact sequence.
1611000	1615000	And then we could record which element in X it is.
1615000	1619000	So which, which extension of this?
1619000	1623000	In what sense is a filtration of short, exact sequence?
1623000	1627000	Well, you have a sub module and then you have a quotient module.
1627000	1628000	Right?
1628000	1630000	Oh, right. Sure. At each point.
1630000	1633000	We're only remembering what is the sub module, what's the quotient module.
1633000	1637000	We're not remembering what's the extension.
1637000	1641000	Ah, that might be, that might be something to look into that.
1641000	1648000	Right. So like, I mean, there's a sense in which if we just remember literally what the extensions are, then we can reconstruct the entire module.
1648000	1651000	Then it's an invariant because it gives you the whole module back.
1651000	1656000	Oh, okay. Maybe there's something you can extract from the extensions.
1656000	1662000	That's what I was going to say. But when you view it that way, it's like, okay, so then what functions on X are we interested in?
1662000	1667000	Right. We can take the zero function on X and then we just don't care what the extension is.
1667000	1673000	Well, we could take, we could take more interesting invariants of the X and perhaps get more information and sort of that.
1673000	1681000	We could sort of build up a theory of how much information do you want from the X, that kind of thing.
1681000	1687000	Yeah. So those are the three things I've done basically.
1687000	1689000	Cool.
1689000	1693000	I think that's clear thinking.
1693000	1696000	Derek, do you have anything to add?
1696000	1707000	I'm not the pro here, although I find the idea interesting and I think Goody is the program that should help you with this.
1707000	1717000	Yeah, I've seen that Goody is C++ with Python bindings. Would you plan on like porting it also to like Julia binding so you can interact with it?
1717000	1721000	No, my idea would be to port my thing to Python bindings.
1721000	1722000	Oh, okay.
1722000	1730000	Julia is my backend. Julia is my C++. I am not good enough to write my thing in C++, so I did it in Julia, which is more expressive.
1730000	1733000	Sure. And then you write Python binding, like do a Python binding.
1733000	1741000	Yeah, that's my plan eventually. I haven't done this before. I know there are software that does it for you, so I need to look into that.
1741000	1746000	Yeah, I'd hope there would be just a library that like converts NumPy arrays to Julia.
1746000	1754000	Something like that. And so basically your input is in Python and then you convert it to Julia and put that in.
1754000	1761000	Your output is in Julia and then converts back to Python and then you don't touch anything in between. That would be ideal.
1761000	1767000	Sure.
1767000	1770000	I do have something to add.
1770000	1771000	What?
1771000	1778000	Unrelated to this, but my example ran successfully, so the library is working.
1778000	1783000	Oh, good. Good.
1783000	1790000	There's a sense in which I really wish, actually I really wish both of you could be in Austria for this thing.
1790000	1793000	This thing that's at the end of March.
1793000	1797000	I could be in Austria. I just need to plan ahead.
1797000	1799000	It's during classes.
1799000	1805000	Yeah, I would need to plan ahead very methodically.
1805000	1816000	I mean, I can talk with my professors and see what we're doing, but that seems like especially because then it's also when I'm possibly going to be visiting grad school as well.
1816000	1821000	I have actually heard back from one of them.
1821000	1827000	And unfortunately, so University of Wisconsin Madison, I put up here the email.
1827000	1836000	They had over 800 applicants to the program, so they just preliminarily, like early, just like denied a bunch of people.
1836000	1837000	Including you or no?
1837000	1842000	Let me tell you, the reason why they denied you is because they think you're not going to go.
1842000	1844000	That may well be it, yeah.
1844000	1850000	At UW Madison? But that's not a safety school, so to speak, right? It's quite hard to get into.
1850000	1851000	Madison?
1851000	1853000	Yeah.
1853000	1858000	I mean, they think that Ricardo is going to go someplace better.
1858000	1867000	He very well might, but OK, I shouldn't be saying this because when I applied to undergrad, NYU did that to me.
1867000	1876000	This could backfire because it could be that all the better places think, oh, not quite.
1876000	1879000	Yeah, especially with as many applicants as everyone seems to be getting now.
1879000	1883000	Well, I'm sorry to hear, Ricardo. I think you're a very high quality applicant.
1883000	1888000	Keep in mind that these places always receive that many applications. This is not news.
1888000	1889000	OK.
1889000	1890000	Sure.
1890000	1893000	But they are forced, and Duke does the same thing, by the way.
1893000	1898000	We have explicit conversations about how good someone is and how likely they are to come.
1898000	1903000	And the fact is that if you applied to Duke, we'd look at your application calls.
1903000	1910000	Are you going to come here? Come on, let's kind of get into it, and then we'll name some other place.
1910000	1914000	No, yeah, I just, yeah, it was just a bit, because they sent it so early.
1914000	1918000	I wasn't expecting anything until late February, and then they sent it literally last week.
1918000	1920000	I was like, OK, well.
1920000	1924000	OK, well, again, I'm sorry to hear, Ricardo. I think you're a very high quality applicant.
1924000	1927000	I have no doubts that you're going to get in somewhere.
1927000	1928000	Yeah, I hope so.
1928000	1933000	Well, I mean, I told Ricardo something a little bit more realistic,
1933000	1938000	which is that there is no reason why he should be rejected from anywhere.
1938000	1944000	Sure, that's a good thing to say. My only worry for you, Ricardo, is you only apply to four places, so you are...
1944000	1949000	That doesn't mean I am not going to guarantee they'll get in somewhere,
1949000	1954000	because it can happen that the stochastics just work not for you.
1954000	1962000	Yeah, I forgot about this. Ricardo, you only apply to four places, so that is, you know, a worrying factor.
1962000	1966000	Is there a place that you want to go above everyone else?
1966000	1968000	Presumably MIT.
1968000	1974000	There is nowhere that I'm like, sir, do I want to go? But if I had to pick now, there is one that I'm going to go.
1974000	1976000	Which one?
1976000	1977000	Johns Hopkins.
1977000	1978000	Which one?
1978000	1979000	Johns Hopkins.
1979000	1981000	Write to somebody at Hopkins.
1981000	1986000	Emily Reel is actually going to be at Duke in like a month, maybe a month and a half or something like that.
1986000	1988000	No, she's coming on the 30th.
1988000	1996000	But write to somebody at Hopkins and say, look, if I had to pick today, Hopkins would be my first choice.
1996000	1998000	Let me tell you, they don't know that.
1998000	1999000	Okay.
1999000	2001000	All right, I'll write that.
2001000	2006000	Write an email, and you have to do it today, because these decisions are being made now.
2006000	2015000	And if you tell someone at Hopkins that if you were going to make a decision today that you would choose them over all the other places you apply, you should feel free to tell them what those places are.
2015000	2021000	You could tell them that you applied, but you could say, I applied to these other places, Berkeley and Harvard.
2021000	2023000	I don't know where you apply.
2023000	2027000	But then say, but if I had to choose today, I would choose Hopkins.
2027000	2031000	Then that will seriously raise the chance of you being admitted there.
2031000	2032000	It really does. It really does.
2032000	2038000	From everyone I've heard, everyone I've heard said that you have to play the game.
2038000	2041000	Yeah, you can't do that to every place that you apply.
2041000	2052000	But if there's one that you're willing to do it for, then it raises your chance at that place by a lot, because then they don't have to roll the dice anymore.
2052000	2056000	Okay, I will do that.
2056000	2060000	Pick a person that's sort of up your alley that you'd like to work with.
